Nr;Word;Target_nonword;Syllables;Condition;Length_list;Word1;Word_2;Word3;Word4;Word5;Word6;Position_target;Noise_level;Position_foil;
239;clown;cloys_1.wav;1;Target-only;5 words;popfouk.wav;lauk.wav;cloys_2.wav;leuder.wav;belp.wav;;3;plus8db;0;
240;haak;hijk_1.wav;1;Target-only;5 words;mozing.wav;ammel.wav;hijk_2.wav;vap.wav;riel.wav;;3;plus8db;0;
241;spook;spuik_1.wav;1;Target-only;5 words;gerf.wav;taud.wav;spuik_2.wav;gideer.wav;lobat.wav;;3;plus8db;0;
242;pet;tet_1.wav;1;Target-only;5 words;kleuk.wav;kiazont.wav;tet_2.wav;schrins.wav;tiaka.wav;;3;plus8db;0;
243;das;dap_1.wav;1;Target-only;5 words;cowtou.wav;kest.wav;dap_2.wav;poeger.wav;wos.wav;;3;plus8db;0;
244;slak;slas_1.wav;1;Target-only;5 words;laanzan.wav;halg.wav;jirsel.wav;slas_2.wav;goe.wav;;4;plus8db;0;
245;schoen;schien_1.wav;1;Target-only;5 words;spraf.wav;blamsem.wav;pandanst.wav;schien_2.wav;hon.wav;;4;plus8db;0;
246;bloem;blijm_1.wav;1;Target-only;5 words;bramp.wav;stenk.wav;zwesbag.wav;blijm_2.wav;schekder.wav;;4;plus8db;0;
247;ton;mon_1.wav;1;Target-only;5 words;speemel.wav;schrag.wav;kopeen.wav;mon_2.wav;spaaf.wav;;4;plus8db;0;
248;pijp;puip_1.wav;1;Target-only;5 words;hir.wav;dotting.wav;wams.wav;puip_2.wav;garsen.wav;;4;plus8db;0;
249;kroon;broon_1.wav;1;Target-only;5 words;warker.wav;lepen.wav;pluif.wav;broon_2.wav;pir.wav;;4;plus8db;0;
250;uil;ool_1.wav;1;Target-only;6 words;opwijp.wav;ool_2.wav;zoeg.wav;afschoek.wav;bezwop.wav;kra.wav;2;plus8db;0;
251;leeuw;heeuw_1.wav;1;Target-only;6 words;ginler.wav;heeuw_2.wav;palk.wav;sallaat.wav;gilp.wav;gesaar.wav;2;plus8db;0;
252;draak;praak_1.wav;1;Target-only;6 words;kilk.wav;praak_2.wav;dienel.wav;scheus.wav;hoonpoed.wav;zalgens.wav;2;plus8db;0;
253;vlag;knag_1.wav;1;Target-only;6 words;spoutel.wav;knag_2.wav;teul.wav;rusjen.wav;pacel.wav;pleig.wav;2;plus8db;0;
254;zaag;gaag_1.wav;1;Target-only;6 words;dreu.wav;goelroop.wav;gaag_2.wav;bip.wav;oekheid.wav;mechter.wav;3;plus8db;0;
255;koe;kie _1.wav;1;Target-only;6 words;mastool.wav;smees.wav;kie_2.wav;muipje.wav;aankol.wav;sma.wav;3;plus8db;0;
256;tank;pank_1.wav;1;Target-only;6 words;alktoord.wav;bawo.wav;pank_2.wav;gam.wav;kel.wav;loofteed.wav;3;plus8db;0;
257;kruis;fluis_1.wav;1;Target-only;6 words;viet.wav;knaf.wav;fluis_2.wav;eidind.wav;gruton.wav;goeling.wav;3;plus8db;0;
258;slang;krang_1.wav;1;Target-only;6 words;sproor.wav;dapter.wav;koomlan.wav;krang_2.wav;goem.wav;afschaag.wav;4;plus8db;0;
259;fiets;fuits_1.wav;1;Target-only;6 words;klork.wav;oorwag.wav;klies.wav;fuits_2.wav;pernoen.wav;voorboons.wav;4;plus8db;0;
260;plein;ploen_1.wav;1;Target-only;6 words;roekwom.wav;hoel.wav;inbods.wav;ploen_2.wav;gik.wav;kievaar.wav;4;plus8db;0;
261;kaas;kaat_1.wav;1;Target-only;6 words;menk.wav;waalteed.wav;voorboorn.wav;kaat_2.wav;mouning.wav;deu.wav;4;plus8db;0;
262;tol;gol_1.wav;1;Target-only;6 words;wodel.wav;glimlilg.wav;wuisderf.wav;hoot.wav;gol_2.wav;blenk.wav;5;plus8db;0;
263;bril;slil_1.wav;1;Target-only;6 words;oorgeek.wav;agbies.wav;blijn.wav;paldij.wav;slil_2.wav;loe.wav;5;plus8db;0;
264;oor;oop_1.wav;1;Target-only;6 words;roord.wav;korg.wav;boodsprop.wav;woettaan.wav;oop_2.wav;klungan.wav;5;plus8db;0;
265;touw;tomp_1.wav;1;Target-only;6 words;oormoel.wav;karp.wav;retnin.wav;alveid.wav;tomp_2.wav;penk.wav;5;plus8db;0;
266;heks;hoks_1.wav;1;Target-only;6 words;schieling.wav;sprork.wav;baarwuig.wav;tat.wav;hoks_2.wav;loevas.wav;5;plus8db;0;
267;bord;bops_1.wav;1;Target+Foil;3 words;bolgwap.wav;bops_2.wav;ziep.wav;;;;2;plus8db;1;
268;aap;ijp_1.wav;1;Target+Foil;3 words;ijnrorf.wav;ijp_2.wav;wuis.wav;;;;2;plus8db;1;
269;vlieg;vloeg_1.wav;1;Target+Foil;3 words;vloefpaak.wav;vloeg_2.wav;halp.wav;;;;2;plus8db;1;
270;kast;kang_1.wav;1;Target+Foil;3 words;kachboop.wav;kang_2.wav;vars.wav;;;;2;plus8db;1;
271;brug;tuch_1.wav;1;Target+Foil;3 words;tungbog.wav;tuch_2.wav;wag.wav;;;;2;plus8db;1;
272;fles;knes_1.wav;1;Target+Foil;3 words;knerwolp.wav;knes_2.wav;gops.wav;;;;2;plus8db;1;
273;mes;mas_1.wav;1;Target+Foil;3 words;marmon.wav;mas_2.wav;niel.wav;;;;2;plus8db;1;
274;jas;nas_1.wav;1;Target+Foil;3 words;nafpes.wav;nas_2.wav;roor.wav;;;;2;plus8db;1;
275;vis;jis_1.wav;1;Target+Foil;3 words;jilgruik.wav;jis_2.wav;remp.wav;;;;2;plus8db;1;
276;voet;vuit_1.wav;1;Target+Foil;3 words;vuikschoop.wav;vuit_2.wav;naf.wav;;;;2;plus8db;1;
277;stoel;stuil_1.wav;1;Target+Foil;3 words;stuindreek.wav;stuil_2.wav;keis.wav;;;;2;plus8db;1;
278;bom;rom_1.wav;1;Target+Foil;3 words;rofreun.wav;rom_2.wav;zamp.wav;;;;2;plus8db;1;
279;boom;baam_1.wav;1;Target+Foil;3 words;baagfolp.wav;baam_2.wav;stid.wav;;;;2;plus8db;1;
280;trap;zwap_1.wav;1;Target+Foil;3 words;zwantaar.wav;zwap_2.wav;heern.wav;;;;2;plus8db;1;
281;ring;ling_1.wav;1;Target+Foil;3 words;lixkroei.wav;ling_2.wav;daul.wav;;;;2;plus8db;1;
282;dak;nak_1.wav;1;Target+Foil;3 words;napbeig.wav;nak_2.wav;mel.wav;;;;2;plus8db;1;
283;glas;sjas_1.wav;1;Target+Foil;3 words;sjatmeep.wav;sjas_2.wav;voen.wav;;;;2;plus8db;1;
284;bus;bru_1.wav;1;Target+Foil;3 words;brozil.wav;bru_2.wav;zek.wav;;;;2;plus8db;1;
285;taart;toort_1.wav;1;Target+Foil;4 words;toolgmong.wav;toort_2.wav;veepsel.wav;sies.wav;;;2;plus8db;1;
286;muur;scru_1.wav;1;Target+Foil;4 words;scriraal.wav;scru_2.wav;boekon.wav;oes.wav;;;2;plus8db;1;
287;broek;groek_1.wav;1;Target+Foil;4 words;groedmiel.wav;groek_2.wav;voorwoer.wav;ses.wav;;;2;plus8db;1;
288;oog;ood_1.wav;1;Target+Foil;4 words;ooptaag.wav;ood_2.wav;vernee.wav;krel.wav;;;2;plus8db;1;
289;brood;bried_1.wav;1;Target+Foil;4 words;snes.wav;briepkimp.wav;bried_2.wav;jutleen.wav;;;3;plus8db;2;
290;zon;erm_1.wav;1;Target+Foil;4 words;kangoer.wav;elgpaun.wav;erm_2.wav;mip.wav;;;3;plus8db;2;
291;neus;kels_1.wav;1;Target+Foil;4 words;uitvong.wav;kerplem.wav;kels_2.wav;pans.wav;;;3;plus8db;2;
292;raam;bap_1.wav;1;Target+Foil;4 words;woors.wav;bandars.wav;bap_2.wav;olvin.wav;;;3;plus8db;2;
293;trein;paaks_1.wav;1;Target+Foil;4 words;ner.wav;paandvelm.wav;paaks_2.wav;pernijn.wav;;;3;plus8db;2;
294;hoed;koed_1.wav;1;Target+Foil;4 words;koegpaat.wav;momp.wav;koed_2.wav;noger.wav;;;3;plus8db;1;
295;blik;drik_1.wav;1;Target+Foil;4 words;dritmeek.wav;stetjel.wav;drik_2.wav;tar_1.wav;;;3;plus8db;1;
296;arm;von_1.wav;1;Target+Foil;4 words;vormerp.wav;moen.wav;von_2.wav;merbog.wav;;;3;plus8db;1;
