nr;Band;spelling;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
1200;30;aangapen;8;-4,2;5,2;-0,2;0,7;350;0,951823659;1,662798977;0,931428571;1,339875839;W;W;W;W;319;0,16;2,503790683;-0,795880017
1201;31;eromheen;8;0,8;4,5;0;3,5;322;0,950614676;1,650842944;0,931677019;1,34132898;W;W;W;W;6840;3,86;3,835056102;0,586587305
1202;31;agressieveling;14;4,4;-4,5;-4;0,6;329;0,945895935;1,606299455;0,927051672;1,31472654;W;W;W;W;164;0,11;2,214843848;-0,958607315
1203;31;herbivoor;9;0,1;1,6;-1,3;-0,7;334;0,950384757;1,648595723;0,934131737;1,355841196;W;W;W;W;219;0,14;2,340444115;-0,853871964
1204;31;gedachtegang;12;-1,6;-1,6;-0,5;-1,6;343;0,950118384;1,646002557;0,930029155;1,331743145;W;W;W;W;3620;0,53;3,558708571;-0,27572413
1205;31;draaidag;8;4,5;-5,3;-2,4;-3,7;354;0,943925147;1,588604522;0,926553672;1,311917351;W;W;W;W;342;0,14;2,534026106;-0,853871964
1206;31;hartstikke;10;-0,9;2,8;0,6;-2,9;317;0,951178219;1,656386556;0,933753943;1,353589095;W;W;W;W;4610;25,22;3,663700925;1,401745082
1207;31;inning;6;1,6;-1,5;-3,8;-0,5;347;0,948183047;1,627486067;0,92795389;1,319842502;W;W;W;W;3220;2,65;3,507855872;0,423245874
1208;31;afkoping;8;-3;3,5;-3;-1,7;342;0,948950165;1,634758568;0,923976608;1,297542929;W;W;W;W;54;;1,73239376;
1209;31;onvertakt;9;3,8;3,5;-3,9;3,3;343;0,948099208;1,626696445;0,924198251;1,298768687;W;W;W;W;87;;1,939519253;
1210;31;halsreikend;11;0.8;6.7;-3.1;-1.8;342;0,948700179;1,632379137;0,923976608;1,297542929;W;W;W;W;659;;2,818885415;
1211;31;rempedaal;9;3,7;3,1;-2,9;5,7;297;0,950640659;1,651097434;0,932659933;1,347105901;W;W;W;W;295;;2,469822016;
1212;31;piranha;7;-2,7;2,2;-2;5,4;327;0,948802872;1,633355471;0,929663609;1,329633231;W;W;W;W;2560;0,48;3,408239965;-0,318758763
1213;31;bijslag;7;1;3,2;1,2;0,4;364;0,950916834;1,653808975;0,931318681;1,339234005;W;W;W;W;159;;2,201397124;
1214;31;africhter;9;3,8;3,4;-4,6;-0,1;288;0,945160051;1,599633568;0,920138889;1,276620924;W;W;W;W;82;;1,913813852;
1215;31;aankleven;9;2,6;3,5;-1,5;1,7;310;0,949415086;1,639208582;0,925806452;1,307721636;W;W;W;W;888;0,02;2,948412966;-1,698970004
