nr;Band;spelling;randomisation;selection;Etymology;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
239;6;compositie;0,595457022;1;;10;-0,5;0;0;-0,4;335;0,99817129;2,90629022;0,997014925;1,91359721;W;W;W;W;14000;0,89;4,146128036;-0,050609993
225;6;bloempot;0,653664814;1;;8;0,3;-0,6;-0,6;-0,4;331;0,998015617;2,880633713;0,996978852;1,913061488;W;W;W;W;1970;0,64;3,294466226;-0,193820026
220;6;waarschijnlijk;0,692277742;1;;14;0;0;0;0;365;0,998089663;2,892600177;0,997260274;1,917255507;W;W;W;W;123000;168,31;5,089905111;2,22610992
205;6;medewerkster;0,701952017;1;;12;0,4;0;0;0,3;313;0,998227676;2,916075492;0,996805112;1,910488952;W;W;W;W;3180;0,55;3,50242712;-0,259637311
212;6;verwarmen;0,786282012;1;;9;0;0;0;0;327;0,998185284;2,908692952;0,996941896;1,912513228;W;W;W;W;2470;1,62;3,392696953;0,209515015
236;6;eerder;0,842497464;1;;6;0,3;0;0,9;0,3;360;0,998241482;2,918514402;0,997222222;1,916686449;W;W;W;W;154000;191,31;5,187520721;2,281737672
203;6;achtervolger;0,875158968;1;;12;-0,5;0;0;0;332;0,998181584;2,908055957;0,996987952;1,913196577;W;W;W;W;1570;0,32;3,195899652;-0,494850022
202;6;oplichting;0,887954558;1;;10;-0,4;0;0;0,5;319;0,998140358;2,901038392;0,996865204;1,911377291;W;W;W;W;1830;1,33;3,26245109;0,123851641
234;6;hoofdrol;0,917740509;1;;8;0,3;0;1;-0,4;344;0,99825033;2,92008668;0,997093023;1,914758919;W;W;W;W;7930;4,89;3,899273187;0,689308859
213;6;beker;0,964202291;1;;5;0;0;0;0;358;0,998206061;2,912291403;0,997206704;1,916454554;W;W;W;W;7970;8,78;3,901458321;0,943494516
